question,cluster
"Welche Voraussetzungen müssen erfüllt sein, damit ein nicht im Grundbuch eingetragener Eigentümer eine (Rück-)Auflassung verlangen kann?",10
Unter welchen Bedingungen kann ein Eigentümer statt einer Grundbuchberichtigung auch (Rück-)Auflassung verlangen?,122
"Wer ist verpflichtet, die Eigentumsübertragung im Grundbuch zu korrigieren, wenn der Eigentümer nicht im Grundbuch eingetragen ist?",10
"Welche Rolle spielt die Genehmigung der Großeltern für die Gültigkeit einer Auflassung, wenn die Notariatsangestellte nicht zur Auflassung bevollmächtigt war?",105
"Welche Rechtsgrundlage gilt für den Fall, dass der Notar ohne Vollmacht eine Auflassung erklärt?",104
"Welche Rechte hat ein Eigentümer, wenn er das Eigentum an einem Grundstück aufgrund einer fehlerhaften Auflassung verloren hat?",10
"Welche Rechtsfolge tritt ein, wenn ein Notar ohne Vollmacht eine Auflassung erklärt?",104
"Welche Bedingungen müssen erfüllt sein, damit eine Auflassung gültig ist?",24
"Welche Rechtsgrundlage gilt für den Fall, dass ein Eigentümer das Eigentum an einem Grundstück aufgrund einer Schenkung verloren hat?",10
"Welche Rechte hat ein Eigentümer, wenn er das Eigentum an einem Grundstück aufgrund einer unentgeltlichen Übertragung verloren hat?",10
"Welche Voraussetzungen müssen erfüllt sein, damit ein Überbau auf fremdem Grundstück rechtmäßig ist?",24
"Wer ist berechtigt, den Überbau auf einem fremden Grundstück zu unterhalten, wenn der ursprüngliche Mieter aus dem Mietvertrag aussteigt?",10
"Welche Rechte hat der Eigentümer des überbauten Grundstücks, wenn der Überbau auf vertraglicher Grundlage erfolgte?",10
Wie kann der Eigentümer des überbauten Grundstücks nach dem Wechsel des Eigentums am Stammgrundstück seine Rechte am Überbau behalten?,13
Welche Rolle spielt der Mietvertrag bei der rechtmäßigen Überbauung der Grenze?,12
"Welche Rechtsgrundlage gilt für die Herausgabe der Teilfläche, die Bestandteil des Grundstücks ist, auf dem der Nießbrauch lastet?",10
"Wie kann der Eigentümer des überbauten Grundstücks seine Rechte am Überbau schützen, wenn der Überbau auf seinem Grundstück errichtet wurde, ohne seine Zustimmung einzuholen?",10
"Welche Rechtsfolgen treten ein, wenn der Eigentümer des Stammgrundstücks das Überbauen seines Grundstücks gestattet hat, aber der Überbau auf vertraglicher Grundlage erfolgte?",10
"Wie kann der Eigentümer des überbauten Grundstücks seine Rechte am Überbau schützen, wenn der Überbau auf seinem Grundstück errichtet wurde, ohne seine Zustimmung einzoholen, aber der Überbau auf vertraglicher Grundlage erfolgte?",10
Welche Rolle spielt der Wechsel des Eigentums am Stammgrundstück für die Rechtslage des Überbaus?,13
"Welche Voraussetzungen müssen erfüllt sein, damit ein Frachtführer Anspruch auf Ersatz von Aufwendungen für die Verzollung von Gütern hat?",24
"Wer ist verpflichtet, die Zollgebühren zu tragen, wenn der Frachtführer die Verzollung im Auftrag eines Dritten durchführt?",105
"Wie lange ist ein Aufwendungsersatzanspruch des Frachtführers gegen den Auftraggeber verjährungsfrei, wenn der Auftraggeber den Rückgriff auf den Frachtführer begehrt?",11
Welche Rolle spielt das niederländische Recht bei der Beurteilung eines Aufwendungsersatzanspruchs des Frachtführers gegen den Auftraggeber?,108
Warum beginnt die Verjährungsfrist für den Aufwendungsersatzanspruch des Frachtführers erst mit der Geltendmachung des Anspruchs durch den Auftraggeber?,84
