Question,OutlierScore
Welche Pflichten hat ein Sportverein im Hinblick auf den Transport von minderjährigen Vereinsmitgliedern zu Auswärtsspielen?,0.14837461305303457
Welche Rolle spielt die Mitgliedschaft eines Fischers in einer Genossenschaft bei der Einhaltung der Fischablieferungspflicht?,0.12726492275081977
"Wie kann ein Luftfahrtunternehmen eine Annullierung vermeiden, wenn es einen technischen Mangel erkennt?",0.1156823245027883
Welche Geräuschemissionen werden als besonders schädlich für die Nachtruhe betrachtet?,0.11389686470995529
Wie kann ein Vertretungsmangel bei einer GbR geheilt werden?,0.10942403032058108
"Wer ist verpflichtet, die durch den Kohleabbau verursachten Erschütterungen zu dulden?",0.09478864759400152
Welche Rolle spielt die Absicht des Luftfahrtunternehmens bei der Feststellung einer Annullierung?,0.08231886502908739
"Welche Rechtsgrundlage gilt für die Anwendung des thailändischen Rechts auf einen Unfall, der sich in Thailand ereignet hat?",0.06173795267912493
"Welche Bedeutung hat die Möglichkeit, dass der Anschluss der Wohnung an die Zentralheizung zu einer Einsparung von Energie führt, für die Entscheidung über den Anschluss?",0.052513351799534785
"Welche Gebührennummern können analog abgerechnet werden, wenn sie nicht im Gebührenverzeichnis aufgeführt sind?",0.05127700185913788
"Wer ist verpflichtet, die Fischablieferungspflicht gegenüber der Genossenschaft einzuhalten?",0.05010102561871238
Welche Rolle spielt das öffentliche Informationsinteresse bei der Berichterstattung über eine Person?,0.04752398759082379
Unter welchen Umständen ist eine gerichtliche Billigkeitskontrolle von Gaspreiserhöhungen nicht mehr gerechtfertigt?,0.03528749328456591
"Wer ist verpflichtet, die Transparenz einer Abtretungsklausel sicherzustellen?",0.0327570857581343
"Welche Bedingungen müssen erfüllt sein, damit eine Annullierung eines Flugs im Sinne der Verordnung vorliegt?",0.029182111296819465
Wie ist der Anwendungsbereich der ADSp im Hinblick auf das Seefrachtrecht zu interpretieren?,0.024743195633146045
Welche Bedeutung hat die Abwanderungsquote bei der Berechnung des Handelsvertreterausgleichs nach § 89b HGB?,0.024708410885797002
"Welche Rechtsgrundlage gilt für die Annahme, dass der Greek Bondholder Act wegen Verstoßes gegen den ordre public nicht angewendet werden dürfe?",0.02144753152569355
"Wer ist verpflichtet, den Anschluss einer Wohnung an die Zentralheizung zu dulden, wenn die Wohnung bereits mit einer Gasetagenheizung ausgestattet ist?",0.013546720674801054
Wie ist der Begriff 'Verbraucher' in Art. 2 Nr. 9 der Richtlinie definiert?,0.012825329831093902
"Welche Pflichten hat ein Arbeitgeber, um seine Mitarbeiter vor tödlichen Gefahren am Arbeitsplatz zu schützen, insbesondere bei Arbeiten in großer Höhe?",0.012448562221896008
"Wie ist der Begriff der ""Geschäftsgrundlage"" im Rahmen des Wegfalls der Geschäftsgrundlage zu verstehen?",0.010518943096345561
"Wie ist der Begriff ""vorübergehend"" in Bezug auf Arbeitsunfähigkeit zu interpretieren?",0.0032647806838209934
"Wer ist verpflichtet, den Wert von transportierten Gütern anzugeben?",0.0018470945843027818
