question,cluster
"Welche Voraussetzungen müssen erfüllt sein, damit ein nicht im Grundbuch eingetragener Eigentümer eine (Rück-)Auflassung verlangen kann?",24
Unter welchen Bedingungen kann ein Eigentümer statt einer Grundbuchberichtigung auch (Rück-)Auflassung verlangen?,24
"Wer ist verpflichtet, die Eigentumsübertragung im Grundbuch zu korrigieren, wenn der Eigentümer nicht im Grundbuch eingetragen ist?",24
"Welche Rolle spielt die Genehmigung der Großeltern für die Gültigkeit einer Auflassung, wenn die Notariatsangestellte nicht zur Auflassung bevollmächtigt war?",123
"Welche Rechtsgrundlage gilt für den Fall, dass der Notar ohne Vollmacht eine Auflassung erklärt?",112
"Welche Rechte hat ein Eigentümer, wenn er das Eigentum an einem Grundstück aufgrund einer fehlerhaften Auflassung verloren hat?",17
"Welche Rechtsfolge tritt ein, wenn ein Notar ohne Vollmacht eine Auflassung erklärt?",112
"Welche Bedingungen müssen erfüllt sein, damit eine Auflassung gültig ist?",107
"Welche Rechtsgrundlage gilt für den Fall, dass ein Eigentümer das Eigentum an einem Grundstück aufgrund einer Schenkung verloren hat?",17
"Welche Rechte hat ein Eigentümer, wenn er das Eigentum an einem Grundstück aufgrund einer unentgeltlichen Übertragung verloren hat?",17
"Welche Voraussetzungen müssen erfüllt sein, damit ein Überbau auf fremdem Grundstück rechtmäßig ist?",17
"Wer ist berechtigt, den Überbau auf einem fremden Grundstück zu unterhalten, wenn der ursprüngliche Mieter aus dem Mietvertrag aussteigt?",12
"Welche Rechte hat der Eigentümer des überbauten Grundstücks, wenn der Überbau auf vertraglicher Grundlage erfolgte?",17
Wie kann der Eigentümer des überbauten Grundstücks nach dem Wechsel des Eigentums am Stammgrundstück seine Rechte am Überbau behalten?,17
Welche Rolle spielt der Mietvertrag bei der rechtmäßigen Überbauung der Grenze?,12
"Welche Rechtsgrundlage gilt für die Herausgabe der Teilfläche, die Bestandteil des Grundstücks ist, auf dem der Nießbrauch lastet?",17
"Wie kann der Eigentümer des überbauten Grundstücks seine Rechte am Überbau schützen, wenn der Überbau auf seinem Grundstück errichtet wurde, ohne seine Zustimmung einzuholen?",17
"Welche Rechtsfolgen treten ein, wenn der Eigentümer des Stammgrundstücks das Überbauen seines Grundstücks gestattet hat, aber der Überbau auf vertraglicher Grundlage erfolgte?",17
"Wie kann der Eigentümer des überbauten Grundstücks seine Rechte am Überbau schützen, wenn der Überbau auf seinem Grundstück errichtet wurde, ohne seine Zustimmung einzoholen, aber der Überbau auf vertraglicher Grundlage erfolgte?",17
Welche Rolle spielt der Wechsel des Eigentums am Stammgrundstück für die Rechtslage des Überbaus?,17
"Welche Voraussetzungen müssen erfüllt sein, damit ein Frachtführer Anspruch auf Ersatz von Aufwendungen für die Verzollung von Gütern hat?",13
"Wer ist verpflichtet, die Zollgebühren zu tragen, wenn der Frachtführer die Verzollung im Auftrag eines Dritten durchführt?",157
"Wie lange ist ein Aufwendungsersatzanspruch des Frachtführers gegen den Auftraggeber verjährungsfrei, wenn der Auftraggeber den Rückgriff auf den Frachtführer begehrt?",20
Welche Rolle spielt das niederländische Recht bei der Beurteilung eines Aufwendungsersatzanspruchs des Frachtführers gegen den Auftraggeber?,9
Warum beginnt die Verjährungsfrist für den Aufwendungsersatzanspruch des Frachtführers erst mit der Geltendmachung des Anspruchs durch den Auftraggeber?,166
Welche Bedeutung hat die Geschäftsbesorgung im Sinne von § 675 BGB für die Anwendung der §§ 407 ff. HGB?,16
Wie ist der Anwendungsbereich der Verjährungsvorschrift des § 439 HGB zu bestimmen?,16
Welche Rechtsgrundlage gilt für den Regress des Frachtführers gegen den Auftraggeber im Falle von Zollgebühren?,9
"Welche Voraussetzungen müssen erfüllt sein, damit ein Gesellschafter einer GmbH persönlich für die Verbindlichkeiten der Gesellschaft haften kann?",81
Welche Rolle spielt die Überwachung der Mittelverwendung durch einen Gesellschafter im Hinblick auf eine mögliche Haftung nach § 826 BGB?,78
"Wer ist verpflichtet, die zweckentsprechende Verwendung von Geld zu überwachen, wenn er eine Rechnung stellt?",36
Wie kann ein Gesellschafter seine Unkenntnis über den Bautenstand und den Baufortschritt im Rahmen einer Haftung nach § 826 BGB geltend machen?,78
"Welche Beweise kann ein Gesellschafter vorlegen, um seine Behauptungen im Rahmen einer Haftung nach § 826 BGB zu unterstützen?",105
Wie kann ein Gericht den Schädigungsvorsatz eines Beklagten im Rahmen einer Haftung nach § 826 BGB beurteilen?,105
"Welche Bedeutung hat die Beweisaufnahme im Rahmen einer Haftung nach § 826 BGB, insbesondere wenn es um Widersprüche in den Aussagen von Beteiligten geht?",105
Wie kann ein Gericht zwischen den Voraussetzungen für einen Haftungsdurchgriff für Gesellschaftsverbindlichkeiten und den Voraussetzungen der Haftung eines Gesellschafters aus § 826 BGB unterscheiden?,105
Welche Rechte hat ein Gesellschafter einer GmbH im Falle einer unzureichenden Vertragserfüllung durch die GmbH?,48
