question,cluster
"Welche Voraussetzungen müssen erfüllt sein, damit ein nicht im Grundbuch eingetragener Eigentümer eine (Rück-)Auflassung verlangen kann?",76
Unter welchen Bedingungen kann ein Eigentümer statt einer Grundbuchberichtigung auch (Rück-)Auflassung verlangen?,76
"Wer ist verpflichtet, die Eigentumsübertragung im Grundbuch zu korrigieren, wenn der Eigentümer nicht im Grundbuch eingetragen ist?",109
"Welche Rolle spielt die Genehmigung der Großeltern für die Gültigkeit einer Auflassung, wenn die Notariatsangestellte nicht zur Auflassung bevollmächtigt war?",46
"Welche Rechtsgrundlage gilt für den Fall, dass der Notar ohne Vollmacht eine Auflassung erklärt?",76
"Welche Rechte hat ein Eigentümer, wenn er das Eigentum an einem Grundstück aufgrund einer fehlerhaften Auflassung verloren hat?",109
"Welche Rechtsfolge tritt ein, wenn ein Notar ohne Vollmacht eine Auflassung erklärt?",76
"Welche Bedingungen müssen erfüllt sein, damit eine Auflassung gültig ist?",16
"Welche Rechtsgrundlage gilt für den Fall, dass ein Eigentümer das Eigentum an einem Grundstück aufgrund einer Schenkung verloren hat?",109
"Welche Rechte hat ein Eigentümer, wenn er das Eigentum an einem Grundstück aufgrund einer unentgeltlichen Übertragung verloren hat?",109
"Welche Voraussetzungen müssen erfüllt sein, damit ein Überbau auf fremdem Grundstück rechtmäßig ist?",109
"Wer ist berechtigt, den Überbau auf einem fremden Grundstück zu unterhalten, wenn der ursprüngliche Mieter aus dem Mietvertrag aussteigt?",10
"Welche Rechte hat der Eigentümer des überbauten Grundstücks, wenn der Überbau auf vertraglicher Grundlage erfolgte?",109
Wie kann der Eigentümer des überbauten Grundstücks nach dem Wechsel des Eigentums am Stammgrundstück seine Rechte am Überbau behalten?,109
Welche Rolle spielt der Mietvertrag bei der rechtmäßigen Überbauung der Grenze?,13
"Welche Rechtsgrundlage gilt für die Herausgabe der Teilfläche, die Bestandteil des Grundstücks ist, auf dem der Nießbrauch lastet?",109
"Wie kann der Eigentümer des überbauten Grundstücks seine Rechte am Überbau schützen, wenn der Überbau auf seinem Grundstück errichtet wurde, ohne seine Zustimmung einzuholen?",109
"Welche Rechtsfolgen treten ein, wenn der Eigentümer des Stammgrundstücks das Überbauen seines Grundstücks gestattet hat, aber der Überbau auf vertraglicher Grundlage erfolgte?",109
"Wie kann der Eigentümer des überbauten Grundstücks seine Rechte am Überbau schützen, wenn der Überbau auf seinem Grundstück errichtet wurde, ohne seine Zustimmung einzoholen, aber der Überbau auf vertraglicher Grundlage erfolgte?",109
Welche Rolle spielt der Wechsel des Eigentums am Stammgrundstück für die Rechtslage des Überbaus?,109
"Welche Voraussetzungen müssen erfüllt sein, damit ein Frachtführer Anspruch auf Ersatz von Aufwendungen für die Verzollung von Gütern hat?",110
"Wer ist verpflichtet, die Zollgebühren zu tragen, wenn der Frachtführer die Verzollung im Auftrag eines Dritten durchführt?",22
"Wie lange ist ein Aufwendungsersatzanspruch des Frachtführers gegen den Auftraggeber verjährungsfrei, wenn der Auftraggeber den Rückgriff auf den Frachtführer begehrt?",110
Welche Rolle spielt das niederländische Recht bei der Beurteilung eines Aufwendungsersatzanspruchs des Frachtführers gegen den Auftraggeber?,110
Warum beginnt die Verjährungsfrist für den Aufwendungsersatzanspruch des Frachtführers erst mit der Geltendmachung des Anspruchs durch den Auftraggeber?,110
Welche Bedeutung hat die Geschäftsbesorgung im Sinne von § 675 BGB für die Anwendung der §§ 407 ff. HGB?,181
Wie ist der Anwendungsbereich der Verjährungsvorschrift des § 439 HGB zu bestimmen?,35
Welche Rechtsgrundlage gilt für den Regress des Frachtführers gegen den Auftraggeber im Falle von Zollgebühren?,110
"Welche Voraussetzungen müssen erfüllt sein, damit ein Gesellschafter einer GmbH persönlich für die Verbindlichkeiten der Gesellschaft haften kann?",61
Welche Rolle spielt die Überwachung der Mittelverwendung durch einen Gesellschafter im Hinblick auf eine mögliche Haftung nach § 826 BGB?,28
"Wer ist verpflichtet, die zweckentsprechende Verwendung von Geld zu überwachen, wenn er eine Rechnung stellt?",10
Wie kann ein Gesellschafter seine Unkenntnis über den Bautenstand und den Baufortschritt im Rahmen einer Haftung nach § 826 BGB geltend machen?,28
"Welche Beweise kann ein Gesellschafter vorlegen, um seine Behauptungen im Rahmen einer Haftung nach § 826 BGB zu unterstützen?",28
Wie kann ein Gericht den Schädigungsvorsatz eines Beklagten im Rahmen einer Haftung nach § 826 BGB beurteilen?,28
"Welche Bedeutung hat die Beweisaufnahme im Rahmen einer Haftung nach § 826 BGB, insbesondere wenn es um Widersprüche in den Aussagen von Beteiligten geht?",28
Wie kann ein Gericht zwischen den Voraussetzungen für einen Haftungsdurchgriff für Gesellschaftsverbindlichkeiten und den Voraussetzungen der Haftung eines Gesellschafters aus § 826 BGB unterscheiden?,28
Welche Rechte hat ein Gesellschafter einer GmbH im Falle einer unzureichenden Vertragserfüllung durch die GmbH?,61
Wie kann ein Gericht im Rahmen einer Haftung nach § 826 BGB zwischen leichtfertigem und gewissenlosem Verhalten unterscheiden?,28
"Welche Voraussetzungen müssen erfüllt sein, damit eine Aufrechnung mit einem Schadensersatzanspruch aus einem Bauvorhaben erfolgreich ist?",16
"Wer ist verpflichtet, die Kosten der Nachbesserungsarbeiten zu tragen, wenn die Werkleistung Mängel aufweist?",10
Wie ist die Höhe eines Schadensersatzanspruchs bei mangelhafter Werkleistung zu berechnen?,39
Unter welchen Bedingungen kann eine Aufrechnung mit einer Schadensersatzforderung aus einem anderen Bauvorhaben erklärt werden?,16
Welche Rechtsgrundlage gilt für die Verrechnung eines Schadensersatzanspruchs mit einer Werklohnforderung?,210
Welche Rolle spielt ein Vergleich im Zusammenhang mit Schadensersatzansprüchen aus mangelhafter Werkleistung?,39
"Welche Rechtsfolge tritt ein, wenn eine Aufrechnung mit einem Schadensersatzanspruch nicht substantiiert dargelegt wird?",210
"Welche Voraussetzungen müssen erfüllt sein, damit ein Frachtführer für den Verlust von Diapositiven während des Transports haften muss?",110
"Wer ist verpflichtet, den Wert von transportierten Gütern anzugeben?",22
Welche Rolle spielt die Unterschrift des Empfängers bei der Haftung des Frachtführers?,110
Wie kann ein Vertragsschluss zwischen einem Versender und einem Frachtführer trotz unklarer Wertangaben der Sendung zustande kommen?,110
Welche Rechtsgrundlage gilt für die Haftung des Frachtführers bei vorsätzlicher Pflichtverletzung durch seinen Mitarbeiter?,110
Welche Bedeutung haben Allgemeine Geschäftsbedingungen (AGB) für die Haftung des Frachtführers?,110
Wie kann ein Schadensersatzanspruch des Eigentümers gegen den Empfänger der Diapositive geltend gemacht werden?,3
"Welche Rechtsfolge tritt ein, wenn der Schädiger die Leistung ernsthaft und endgültig ablehnt?",210
"Welche Voraussetzungen müssen erfüllt sein, damit eine Stammkapitalerhöhung im Interesse der Gesellschaft liegt?",212
"Wer ist verpflichtet, die Liquidität der Gesellschaft zu berücksichtigen, wenn eine Vergütung entnommen wird?",10
"Wie kann eine Gesellschafterin ihre Treuepflichten verletzen, wenn sie ihre Vergütung entnimmt?",3
Welche Rolle spielt die Kreditwürdigkeit der Gesellschaften bei einer Stammkapitalerhöhung?,212
Welche Rechtsgrundlage gilt für die Auszahlung der erhöhten Vergütung an die Komplementär-GmbH?,210
Wann ist eine einstimmige Entscheidung der Gesellschafter für die Auszahlung der erhöhten Vergütung erforderlich?,72
"Welche Gründe rechtfertigen eine Stammkapitalerhöhung, die zu einer Erhöhung der Haftungsvergütung führt?",212
"Welche Bedingungen müssen erfüllt sein, damit eine Gesellschafterin ihre Vergütung entnehmen kann, ohne ihre Treuepflichten zu verletzen?",16
Welche Rechtsfolgen hat eine unzulässige Stammkapitalerhöhung für die Gesellschaften und ihre Gesellschafter?,212
Welche Rolle spielt die Kreditwürdigkeit der Gesellschaften bei der Entscheidung über eine Stammkapitalerhöhung?,212
Welche Rolle spielt die Betriebsgefahr bei der Haftungsquote im Schadensersatzrecht?,46
Unter welchen Bedingungen müssen Sachverständigenkosten im Rahmen des Schadensersatzrechts quotiert werden?,45
"Wer ist verpflichtet, Sachverständigenkosten im Falle einer quotenmäßigen Haftung zu erstatten?",10
Wie sind Sachverständigenkosten im Schadensersatzrecht einzuordnen?,45
Welche Rechtsgrundlage gilt für die Erstattung von Sachverständigenkosten im Schadensersatzrecht?,210
Welche Bedeutung hat die Eigenhaftungsquote des Geschädigten für die Erstattung von Sachverständigenkosten?,45
Welche Rolle spielt die Verursachung des Schadens bei der Quotierung von Sachverständigenkosten?,45
Welche Rechtsfolge ergibt sich aus der quotenmäßigen Haftung des Schädigers bezüglich der Erstattung von Sachverständigenkosten?,45
"Wie ist die Haftung des Schädigers im Schadensersatzrecht geregelt, wenn der Geschädigte ebenfalls für den Schaden verantwortlich ist?",45
"Welche Bedeutung haben die ""Umstände"" im Schadensersatzrecht bei der Quotierung von Sachverständigenkosten?",45
"Welche Voraussetzungen müssen erfüllt sein, damit Versicherte Bonuspunkte erhalten können?",14
Wer entscheidet über die Verwendung der Rückstellung für Überschussverteilung und die Zuteilung von Bonuspunkten?,134
Wie ist die Höhe der Überschussbeteiligung zu bestimmen?,40
"Warum ist es dem Versicherer überlassen, in welcher Höhe er ermittelte Überschüsse zuteilt?",14
Welche Rolle spielt die paritätische Besetzung des Verwaltungsrats der Beklagten bei der Entscheidungsfindung über die Verwendung der Rückstellung für Überschussverteilung und die Zuteilung von Bonuspunkten?,177
Wie beeinflusst die Dynamisierung der Anwartschaften der Versicherten die Zuteilung bzw. Gutschrift von Bonuspunkten?,14
"Welche Rechte haben Versicherte, wenn die Beklagte den satzungsgemäßen Vorgaben für die Überschussbeteiligung nicht nachkommt?",14
Welche Auswirkungen hat die Verweigerung eines Auskunftsanspruchs auf den angekündigten Leistungsantrag?,45
"Welche Rechtsgrundlage gilt für die Haftung einer Person, die einen Arbeitsunfall grob fahrlässig herbeiführt, obwohl sie eine Unfallverhütungsvorschrift verletzt hat?",14
"Welche Pflichten hat ein Arbeitgeber, um seine Mitarbeiter vor tödlichen Gefahren am Arbeitsplatz zu schützen, insbesondere bei Arbeiten in großer Höhe?",85
Unter welchen Bedingungen kann ein Verstoß gegen eine Unfallverhütungsvorschrift als grob fahrlässig eingestuft werden?,16
"Wer ist verpflichtet, während Maurerarbeiten in großer Höhe geeignete Absturzsicherungen vorzusehen?",105
Welche Rolle spielt die Höhe des Absturzes bei der Beurteilung des Verschuldensgrades bei einem Arbeitsunfall?,39
"Welche Rechtsfolge tritt ein, wenn eine Person einen Arbeitsunfall grob fahrlässig herbeiführt und somit den Versicherungsfall verursacht?",14
"Welche Bedeutung hat es, ob eine Person die Gefahr eines Arbeitsunfalls erkennt oder nicht, wenn sie ihre Pflichten verletzt und somit den Unfall verursacht?",218
"Welche Bedeutung hat es, ob eine Person ihre Pflichten nur kurzzeitig verletzt oder ob die Verletzung über einen längeren Zeitraum andauert, wenn sie somit einen Arbeitsunfall verursacht?",218
"Welche Bedeutung hat es, ob eine Person ihre Pflichten aus eigenem Antrieb verletzt oder ob sie von einer dritten Person dazu angestiftet wurde, wenn sie somit einen Arbeitsunfall verursacht?",218
"Welche Rolle spielt es, ob eine Person ihre Pflichten aus Unwissenheit verletzt oder ob sie die Vorschriften kennt und absichtlich ignoriert, wenn sie somit einen Arbeitsunfall verursacht?",218
Unter welchen Bedingungen kann eine Bank für Beratungsfehler eines Dritten haften?,81
"Wer ist verpflichtet, die Kosten für eine notwendige Nachbesserung zu tragen, wenn der ursprüngliche Auftragnehmer insolvent ist?",10
Welche Rolle spielt die Verjährungsfrist bei der Geltendmachung von Schadensersatzansprüchen?,46
"Wie ist der Begriff ""Sachmangel"" im Rahmen des Kaufrechts definiert?",95
"Welche Rechtsfolgen treten ein, wenn ein Mieter die Miete nicht zahlt?",66
"Warum ist es wichtig, zwischen Schadensersatz und Schmerzensgeld zu unterscheiden?",23
Welche Rechtsgrundlage gilt für die Geltendmachung von Ansprüchen aus unerlaubter Handlung?,210
"Welche Bedingungen müssen erfüllt sein, damit ein Arbeitnehmer eine Lohnfortzahlung im Krankheitsfall beanspruchen kann?",16
"Wie ist der Begriff ""Verschuldenshaftung"" im Rahmen des Deliktsrechts zu verstehen?",95
"Welche Anforderungen müssen an eine arglistige Täuschung gestellt werden, damit sie als solche gilt?",53
Wer trägt die Beweislast bei einer arglistigen Täuschung und unter welchen Umständen kann sie sich umkehren?,82
Welche Rolle spielt die Genehmigungsbedürftigkeit bei der Nutzung von Räumen als Wohnraum?,12
"Welche Auswirkungen hat es, wenn Räume als Wohnraum angepriesen werden, obwohl die notwendige Genehmigung nicht vorliegt?",12
Welche Bedeutung hat die secondary Darlegungslast bei der Beweislastverteilung in arglistigen Täuschungen?,49
"Welche Rechte haben Käufer, wenn sie arglistig getäuscht wurden?",63
Welche Pflichten haben Verkäufer bei der Information über das Kaufobjekt und welche Konsequenzen können sich daraus ergeben?,108
Welche Rolle spielt die Aufklärung des Käufers bei der arglistigen Täuschung und wann kann sie den Irrtum des Käufers beseitigen?,63
"Wie kann ein Käufer beweisen, dass er arglistig getäuscht wurde, wenn die Täuschung bereits vor einer behaupteten Aufklärung stattfand?",63
Welche Bedeutung hat die Genehmigungsbedürftigkeit von Nutzungsänderungen im Zusammenhang mit arglistigen Täuschungen?,58
