Question,ClusterLabel,MergedCluster
"Welche Voraussetzungen müssen erfüllt sein, damit ein nicht im Grundbuch eingetragener Eigentümer eine (Rück-)Auflassung verlangen kann?","erfüllt, müssen, rolle, spielt, wer",0
Unter welchen Bedingungen kann ein Eigentümer statt einer Grundbuchberichtigung auch (Rück-)Auflassung verlangen?,"erfüllt, müssen, rolle, spielt, wer",0
"Wer ist verpflichtet, die Eigentumsübertragung im Grundbuch zu korrigieren, wenn der Eigentümer nicht im Grundbuch eingetragen ist?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Rolle spielt die Genehmigung der Großeltern für die Gültigkeit einer Auflassung, wenn die Notariatsangestellte nicht zur Auflassung bevollmächtigt war?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Rechtsgrundlage gilt für den Fall, dass der Notar ohne Vollmacht eine Auflassung erklärt?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Rechte hat ein Eigentümer, wenn er das Eigentum an einem Grundstück aufgrund einer fehlerhaften Auflassung verloren hat?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Rechtsfolge tritt ein, wenn ein Notar ohne Vollmacht eine Auflassung erklärt?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Bedingungen müssen erfüllt sein, damit eine Auflassung gültig ist?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Rechtsgrundlage gilt für den Fall, dass ein Eigentümer das Eigentum an einem Grundstück aufgrund einer Schenkung verloren hat?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Rechte hat ein Eigentümer, wenn er das Eigentum an einem Grundstück aufgrund einer unentgeltlichen Übertragung verloren hat?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Voraussetzungen müssen erfüllt sein, damit ein Überbau auf fremdem Grundstück rechtmäßig ist?","erfüllt, müssen, rolle, spielt, wer",0
"Wer ist berechtigt, den Überbau auf einem fremden Grundstück zu unterhalten, wenn der ursprüngliche Mieter aus dem Mietvertrag aussteigt?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Rechte hat der Eigentümer des überbauten Grundstücks, wenn der Überbau auf vertraglicher Grundlage erfolgte?","erfüllt, müssen, rolle, spielt, wer",0
Wie kann der Eigentümer des überbauten Grundstücks nach dem Wechsel des Eigentums am Stammgrundstück seine Rechte am Überbau behalten?,"erfüllt, müssen, rolle, spielt, wer",0
Welche Rolle spielt der Mietvertrag bei der rechtmäßigen Überbauung der Grenze?,"erfüllt, müssen, rolle, spielt, wer",0
"Welche Rechtsgrundlage gilt für die Herausgabe der Teilfläche, die Bestandteil des Grundstücks ist, auf dem der Nießbrauch lastet?","erfüllt, müssen, rolle, spielt, wer",0
"Wie kann der Eigentümer des überbauten Grundstücks seine Rechte am Überbau schützen, wenn der Überbau auf seinem Grundstück errichtet wurde, ohne seine Zustimmung einzuholen?","erfüllt, müssen, rolle, spielt, wer",0
"Welche Rechtsfolgen treten ein, wenn der Eigentümer des Stammgrundstücks das Überbauen seines Grundstücks gestattet hat, aber der Überbau auf vertraglicher Grundlage erfolgte?","erfüllt, müssen, rolle, spielt, wer",0
"Wie kann der Eigentümer des überbauten Grundstücks seine Rechte am Überbau schützen, wenn der Überbau auf seinem Grundstück errichtet wurde, ohne seine Zustimmung einzoholen, aber der Überbau auf vertraglicher Grundlage erfolgte?","erfüllt, müssen, rolle, spielt, wer",0
Welche Rolle spielt der Wechsel des Eigentums am Stammgrundstück für die Rechtslage des Überbaus?,"erfüllt, müssen, rolle, spielt, wer",0
"Welche Voraussetzungen müssen erfüllt sein, damit ein Frachtführer Anspruch auf Ersatz von Aufwendungen für die Verzollung von Gütern hat?","erfüllt, müssen, rolle, spielt, wer",0
"Wer ist verpflichtet, die Zollgebühren zu tragen, wenn der Frachtführer die Verzollung im Auftrag eines Dritten durchführt?","erfüllt, müssen, rolle, spielt, wer",0
"Wie lange ist ein Aufwendungsersatzanspruch des Frachtführers gegen den Auftraggeber verjährungsfrei, wenn der Auftraggeber den Rückgriff auf den Frachtführer begehrt?","erfüllt, müssen, rolle, spielt, wer",0
Welche Rolle spielt das niederländische Recht bei der Beurteilung eines Aufwendungsersatzanspruchs des Frachtführers gegen den Auftraggeber?,"erfüllt, müssen, rolle, spielt, wer",0
Warum beginnt die Verjährungsfrist für den Aufwendungsersatzanspruch des Frachtführers erst mit der Geltendmachung des Anspruchs durch den Auftraggeber?,"erfüllt, müssen, rolle, spielt, wer",0
Welche Bedeutung hat die Geschäftsbesorgung im Sinne von § 675 BGB für die Anwendung der §§ 407 ff. HGB?,"erfüllt, müssen, rolle, spielt, wer",0
Wie ist der Anwendungsbereich der Verjährungsvorschrift des § 439 HGB zu bestimmen?,"erfüllt, müssen, rolle, spielt, wer",0
Welche Rechtsgrundlage gilt für den Regress des Frachtführers gegen den Auftraggeber im Falle von Zollgebühren?,"erfüllt, müssen, rolle, spielt, wer",0
"Welche Voraussetzungen müssen erfüllt sein, damit ein Gesellschafter einer GmbH persönlich für die Verbindlichkeiten der Gesellschaft haften kann?","erfüllt, müssen, rolle, spielt, wer",0
Welche Rolle spielt die Überwachung der Mittelverwendung durch einen Gesellschafter im Hinblick auf eine mögliche Haftung nach § 826 BGB?,"erfüllt, müssen, rolle, spielt, wer",0
"Wer ist verpflichtet, die zweckentsprechende Verwendung von Geld zu überwachen, wenn er eine Rechnung stellt?","erfüllt, müssen, rolle, spielt, wer",0
Wie kann ein Gesellschafter seine Unkenntnis über den Bautenstand und den Baufortschritt im Rahmen einer Haftung nach § 826 BGB geltend machen?,"erfüllt, müssen, rolle, spielt, wer",0
"Welche Beweise kann ein Gesellschafter vorlegen, um seine Behauptungen im Rahmen einer Haftung nach § 826 BGB zu unterstützen?","erfüllt, müssen, rolle, spielt, wer",0
Wie kann ein Gericht den Schädigungsvorsatz eines Beklagten im Rahmen einer Haftung nach § 826 BGB beurteilen?,"erfüllt, müssen, rolle, spielt, wer",0
"Welche Bedeutung hat die Beweisaufnahme im Rahmen einer Haftung nach § 826 BGB, insbesondere wenn es um Widersprüche in den Aussagen von Beteiligten geht?","erfüllt, müssen, rolle, spielt, wer",0
Wie kann ein Gericht zwischen den Voraussetzungen für einen Haftungsdurchgriff für Gesellschaftsverbindlichkeiten und den Voraussetzungen der Haftung eines Gesellschafters aus § 826 BGB unterscheiden?,"erfüllt, müssen, rolle, spielt, wer",0
Welche Rechte hat ein Gesellschafter einer GmbH im Falle einer unzureichenden Vertragserfüllung durch die GmbH?,"erfüllt, müssen, rolle, spielt, wer",0
Wie kann ein Gericht im Rahmen einer Haftung nach § 826 BGB zwischen leichtfertigem und gewissenlosem Verhalten unterscheiden?,"erfüllt, müssen, rolle, spielt, wer",0
"Welche Voraussetzungen müssen erfüllt sein, damit eine Aufrechnung mit einem Schadensersatzanspruch aus einem Bauvorhaben erfolgreich ist?","erfüllt, müssen, rolle, spielt, wer",0
